design_id,material,pinion_teeth,gear_teeth,module_mm,face_width_mm,actual_ratio,ratio_error_percent,actual_output_rpm,speed_error_percent,pinion_pitch_diameter_mm,gear_pitch_diameter_mm,center_distance_mm,input_torque_nm,output_torque_nm,tangential_force_n,radial_force_n,normal_force_n,pinion_bending_stress_mpa,gear_bending_stress_mpa,gear_fos,input_shaft_diameter_mm,input_shaft_fos,output_shaft_diameter_mm,output_shaft_fos,bearing_span_mm,input_bearing,input_bearing_life_hours,output_bearing,output_bearing_life_hours,estimated_rotating_mass_kg
43,AISI 1045 Steel,25,219,2.0,20.0,8.76,0.11428571428571184,399.5433789954338,0.114155251141554,50.0,438.0,244.0,13.641852265019601,115.91754706632454,682.09261325098,248.26140823620534,725.8677977917017,46.18720295578142,36.21256576953547,9.742958464724953,15,7.200102592970963,20,2.7978568082288224,80.0,6002,17492.91490745651,6204,1829920.0585360075,24.698478213468494
44,AISI 1020 Steel,20,175,2.5,20.0,8.75,0.0,400.0,0.0,50.0,437.5,243.75,13.641852265019601,115.78522109935386,682.09261325098,248.26140823620534,725.8677977917017,40.06417698977857,29.174192183532078,8.735983771469817,15,5.600079794532971,20,2.1785649322041483,80.0,6002,17492.91490745651,6204,1827831.1086974961,24.70659589253583
45,AISI 1020 Steel,25,219,2.0,20.0,8.76,0.11428571428571184,399.5433789954338,0.114155251141554,50.0,438.0,244.0,13.641852265019601,115.91754706632454,682.09261325098,248.26140823620534,725.8677977917017,46.18720295578142,36.21256576953547,7.577856583674964,15,5.600079794532971,20,2.1761108508446396,80.0,6002,17492.91490745651,6204,1829920.0585360075,24.760711278980516
46,AISI 4140 Steel,23,201,2.0,24.0,8.73913043478261,0.12422360248446498,400.49751243781094,0.12437810945273498,46.0,402.0,224.0,13.641852265019601,115.64138852655964,741.4050144032392,269.8493567784841,788.9867367301106,42.99885855743792,32.88318996985155,15.232962501203382,15,9.037749067949042,17,2.4952938436976506,96.0,6002,13621.52292345749,6203,581166.5661137076,24.846471384204424
47,AISI 4140 Steel,18,158,2.5,25.0,8.777777777777779,0.3174603174603265,398.73417721518985,0.31645569620253866,45.0,395.0,220.0,13.641852265019601,116.152793229828,757.8806813899779,275.8460091513393,806.5197753241131,37.362142458116,26.030846479088396,17.531114569628155,15,8.683657889585733,17,2.4808729074440152,100.0,6002,12752.334967535791,6203,546488.5015731854,24.99460069795365
48,AISI 1045 Steel,23,201,2.0,24.0,8.73913043478261,0.12422360248446498,400.49751243781094,0.12437810945273498,46.0,402.0,224.0,13.641852265019601,115.64138852655964,741.4050144032392,269.8493567784841,788.9867367301106,42.99885855743792,32.88318996985155,10.465394084796216,15,6.209140581033692,20,2.7914903557974524,96.0,6002,13621.52292345749,6204,1421542.0632261187,25.02154389400041
49,AISI 1020 Steel,23,201,2.0,24.0,8.73913043478261,0.12422360248446498,400.49751243781094,0.12437810945273498,46.0,402.0,224.0,13.641852265019601,115.64138852655964,741.4050144032392,269.8493567784841,788.9867367301106,42.99885855743792,32.88318996985155,8.139750954841501,15,4.829331563026205,20,2.171159165620241,96.0,6002,13621.52292345749,6204,1421542.0632261187,25.08460005678767
50,AISI 1045 Steel,18,158,2.5,25.0,8.777777777777779,0.3174603174603265,398.73417721518985,0.31645569620253866,45.0,395.0,220.0,13.641852265019601,116.152793229828,757.8806813899779,275.8460091513393,806.5197753241131,37.362142458116,26.030846479088396,12.044277185240716,15,5.965871832539817,20,2.775357624746452,100.0,6002,12752.334967535791,6204,1336719.0016634604,25.17241063450834
51,AISI 1020 Steel,18,158,2.5,25.0,8.777777777777779,0.3174603174603265,398.73417721518985,0.31645569620253866,45.0,395.0,220.0,13.641852265019601,116.152793229828,757.8806813899779,275.8460091513393,806.5197753241131,37.362142458116,26.030846479088396,9.367771144076112,15,4.640122536419858,20,2.1586114859139074,100.0,6002,12752.334967535791,6204,1336719.0016634604,25.23585117115677
52,AISI 4140 Steel,21,184,2.5,20.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,52.5,460.0,256.25,13.641852265019601,115.94275201241422,649.612012619981,236.43943641543365,691.3026645635255,37.40568210863614,27.73736113105992,17.51070861634615,15,10.728100494481968,17,2.5019841754926353,80.0,6002,20250.23561974434,6203,866234.2352643884,27.002016160793076
53,AISI 4140 Steel,24,210,2.0,24.0,8.75,0.0,400.0,0.0,48.0,420.0,234.0,13.641852265019601,115.78522109935386,710.5131388031042,258.60563357938054,756.112289366356,40.61931962057536,31.472056112823537,16.12533164312815,15,9.276135522716991,17,2.494535300299038,96.0,6002,15476.61156356344,6203,661135.7939707333,27.06363908974186
54,AISI 1045 Steel,21,184,2.5,20.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,52.5,460.0,256.25,13.641852265019601,115.94275201241422,649.612012619981,236.43943641543365,691.3026645635255,37.40568210863614,27.73736113105992,12.030257828024073,15,7.370450721399824,20,2.798974843738604,80.0,6002,20250.23561974434,6204,2118821.8212021375,27.16613896355424
55,AISI 1020 Steel,21,184,2.5,20.0,8.761904761904763,0.13605442176871715,399.4565217391304,0.1358695652174049,52.5,460.0,256.25,13.641852265019601,115.94275201241422,649.612012619981,236.43943641543365,691.3026645635255,37.40568210863614,27.73736113105992,9.35686719957428,15,5.7325727833109745,20,2.176980434018914,80.0,6002,20250.23561974434,6204,2118821.8212021375,27.23465906282444
56,AISI 1045 Steel,24,210,2.0,24.0,8.75,0.0,400.0,0.0,48.0,420.0,234.0,13.641852265019601,115.78522109935386,710.5131388031042,258.60563357938054,756.112289366356,40.61931962057536,31.472056112823537,11.07847212123308,15,6.372917534691063,20,2.790641771737091,96.0,6002,15476.61156356344,6204,1617147.9837845878,27.238711599537844
57,AISI 1020 Steel,24,210,2.0,24.0,8.75,0.0,400.0,0.0,48.0,420.0,234.0,13.641852265019601,115.78522109935386,710.5131388031042,258.60563357938054,756.112289366356,40.61931962057536,31.472056112823537,8.61658942762573,15,4.956713638093049,20,2.1704991557955156,96.0,6002,15476.61156356344,6204,1617147.9837845878,27.307416597243673
58,AISI 4140 Steel,19,166,2.5,25.0,8.736842105263158,0.15037593984962835,400.6024096385542,0.15060240963855165,47.5,415.0,231.25,13.641852265019601,115.61110798491873,717.9922244747158,261.327798143374,764.0713660965281,34.50357828648651,24.61454614715705,18.983538303229665,15,8.988640468221135,17,2.4954407944885304,100.0,6002,14997.98791878052,6203,639726.3233566713,27.5272213865223
59,AISI 1045 Steel,19,166,2.5,25.0,8.736842105263158,0.15037593984962835,400.6024096385542,0.15060240963855165,47.5,415.0,231.25,13.641852265019601,115.61110798491873,717.9922244747158,261.327798143374,764.0713660965281,34.50357828648651,24.61454614715705,13.042125551837174,15,6.1754018483962,20,2.7916547499494904,100.0,6002,14997.98791878052,6204,1564780.100282945,27.705031323076987
60,AISI 1020 Steel,19,166,2.5,25.0,8.736842105263158,0.15037593984962835,400.6024096385542,0.15060240963855165,47.5,415.0,231.25,13.641852265019601,115.61110798491873,717.9922244747158,261.327798143374,764.0713660965281,34.50357828648651,24.61454614715705,10.143875429206691,15,4.803090326530378,20,2.1712870277384924,100.0,6002,14997.98791878052,6204,1564780.100282945,27.774924396511576
61,AISI 4140 Steel,22,192,2.5,20.0,8.727272727272727,0.2597402597402671,401.0416666666667,0.2604166666666714,55.0,480.0,267.5,13.641852265019601,115.48448026532955,620.0841938645273,225.69218930564122,659.8798161742742,35.078046451580356,26.43988656687673,18.67264760322736,15,10.9578789059565,17,2.5131422685733025,80.0,6002,23283.06974182461,6203,992031.6352983471,29.353336273633833
